FP-Rate;TP-Rate;
0.676;0.736;
0.68;0.736;
0.684;0.736;
0.688;0.736;
0.688;0.74;
0.688;0.744;
0.688;0.748;
0.688;0.752;
0.692;0.752;
0.696;0.752;
0.7;0.752;
0.7;0.756;
0.704;0.756;
0.704;0.76;
0.704;0.764;
0.708;0.764;
0.712;0.764;
0.716;0.764;
0.716;0.768;
0.716;0.772;
0.72;0.772;
0.72;0.776;
0.72;0.78;
0.72;0.784;
0.724;0.784;
0.724;0.788;
0.724;0.792;
0.728;0.792;
0.728;0.796;
0.728;0.8;
0.732;0.8;
0.736;0.8;
0.736;0.804;
0.736;0.808;
0.736;0.812;
0.736;0.816;
0.736;0.82;
0.74;0.82;
0.744;0.82;
0.748;0.82;
0.748;0.824;
0.752;0.824;
0.756;0.824;
0.76;0.824;
0.76;0.828;
0.764;0.828;
0.764;0.832;
0.764;0.836;
0.768;0.836;
0.772;0.836;
0.776;0.836;
0.78;0.836;
0.784;0.836;
0.784;0.84;
0.784;0.844;
0.788;0.844;
0.788;0.848;
0.792;0.848;
0.792;0.852;
0.796;0.852;
0.8;0.852;
0.8;0.856;
0.8;0.86;
0.804;0.86;
0.808;0.86;
0.808;0.864;
0.812;0.864;
0.816;0.864;
0.816;0.868;
0.82;0.868;
0.824;0.868;
0.828;0.868;
0.828;0.872;
0.828;0.876;
0.828;0.88;
0.832;0.88;
0.836;0.88;
0.84;0.88;
0.844;0.88;
0.848;0.88;
0.852;0.88;
0.856;0.88;
0.86;0.88;
0.86;0.884;
0.864;0.884;
0.868;0.884;
0.872;0.884;
0.876;0.884;
0.876;0.888;
0.88;0.888;
0.88;0.892;
0.88;0.896;
0.88;0.9;
0.884;0.9;
0.888;0.9;
0.892;0.9;
0.896;0.9;
0.9;0.9;
0.9;0.904;
0.9;0.908;
0.9;0.912;
0.904;0.912;
0.908;0.912;
0.908;0.916;
0.908;0.92;
0.912;0.92;
0.912;0.924;
0.916;0.924;
0.916;0.928;
0.92;0.928;
0.924;0.928;
0.928;0.928;
0.928;0.932;
0.928;0.936;
0.928;0.94;
0.928;0.944;
0.932;0.944;
0.932;0.948;
0.936;0.948;
0.936;0.952;
0.94;0.952;
0.944;0.952;
0.944;0.956;
0.948;0.956;
0.952;0.956;
0.952;0.96;
0.956;0.96;
0.96;0.96;
0.96;0.964;
0.964;0.964;
0.968;0.964;
0.968;0.968;
0.968;0.972;
0.972;0.972;
0.976;0.972;
0.98;0.972;
0.98;0.976;
0.984;0.976;
0.988;0.976;
0.988;0.98;
0.992;0.98;
0.992;0.984;
0.992;0.988;
0.996;0.988;
0.996;0.992;
0.996;0.996;
1.0;0.996;
1.0;1.0;
