Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;Recall;;F-Measure;;PR AUC;;Sensitivity;;Specificity;;TP-Rate;;FP-Rate;;ROC AUC;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;A;B;A;B;A;B;A;B;A;B;A;B;A;B;A;B;A;B;;;;;;
210705_0259_Test;M0_CTBNC4-LL;;90%;2000;1;0.843254033205475;0.87;0.8927626079318578;0.13;0.7549668874172185;0.9197707736389685;0.8028169014084507;0.8966480446927374;0.7781569965870306;0.9080622347949081;0.8491451865319289;0.952788585460849;0.8028169014084507;0.8966480446927374;0.8966480446927374;0.8028169014084507;0.8028169014084507;0.8966480446927374;0.10335195530726257;0.19718309859154928;0.9146766071288064;0.9147356204264694;0.11988050047240134;130.225;;8.460000000000005E-4;1.1170283999999905E-5;
