Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;Recall;;F-Measure;;PR AUC;;Sensitivity;;Specificity;;TP-Rate;;FP-Rate;;ROC AUC;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;A;B;A;B;A;B;A;B;A;B;A;B;A;B;A;B;A;B;;;;;;
210614_1949_Test;M0_CTNB;;90%;2000;1;0.6776157501314297;0.712;0.7441018928986095;0.28800000000000003;0.9355742296918768;0.15384615384615385;0.734065934065934;0.4888888888888889;0.8226600985221676;0.23404255319148937;0.956758511244528;0.16374172030793635;0.734065934065934;0.4888888888888889;0.48888888888888893;0.7340659340659341;0.734065934065934;0.4888888888888889;0.5111111111111111;0.26593406593406593;0.6893772893772894;0.6893772893772894;0.2603532366885818;0.969;;8.120000000000005E-4;1.2032655999999836E-5;
