Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;Recall;;F-Measure;;PR AUC;;Sensitivity;;Specificity;;TP-Rate;;FP-Rate;;ROC AUC;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;A;B;A;B;A;B;A;B;A;B;A;B;A;B;A;B;A;B;;;;;;
210615_1405_Test;M0_CTNB;;90%;2000;1;0.5192439357303059;0.556;0.5921531775229121;0.44399999999999995;0.8074324324324325;0.19117647058823528;0.5915841584158416;0.40625;0.6828571428571429;0.26;0.806608940867298;0.1879288699757261;0.5915841584158416;0.40625;0.40625;0.5915841584158417;0.5915841584158416;0.40625;0.59375;0.4084158415841584;0.4908983085808581;0.4908983085808581;0.3853892028471356;0.868;;8.720000000000007E-4;1.9961600000000088E-7;
