Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;;Recall;;;F-Measure;;;PR AUC;;;Sensitivity;;;Specificity;;;TP-Rate;;;FP-Rate;;;ROC AUC;;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;;;;;;
210615_1103_Test;M0_CTBNC2-LL;;90%;4266;1;0.596293029392251;0.6210131332082551;0.6451204126251643;0.37898686679174487;NaN;NaN;0.6210131332082551;0.0;0.0;1.0;NaN;NaN;0.7662037037037037;0.23329233781146663;0.15884990272018998;0.7085819278468325;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.5964424478702842;0.36905292265150935;0.5268388621339475;0.23575638458228435;2.205;;1.697936210131333E-4;5.64978756657246E-7;
