Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;Recall;;F-Measure;;PR AUC;;Sensitivity;;Specificity;;TP-Rate;;FP-Rate;;ROC AUC;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;A;B;A;B;A;B;A;B;A;B;A;B;A;B;A;B;A;B;;;;;;
210705_0402_Test;M0_CTBNC2-LL;;90%;2000;1;0.7606082137715142;0.792;0.820248162477408;0.20799999999999996;0.8252032520325203;0.7598425196850394;0.7689393939393939;0.8177966101694916;0.796078431372549;0.7877551020408163;0.8818348515763289;0.8664462947392408;0.7689393939393939;0.8177966101694916;0.8177966101694916;0.7689393939393939;0.7689393939393939;0.8177966101694916;0.18220338983050846;0.23106060606060605;0.8711639702105803;0.8711639702105803;0.1967629055393586;144.51;;0.0010880000000000006;1.464825599999987E-5;
