Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;Recall;;F-Measure;;PR AUC;;Sensitivity;;Specificity;;TP-Rate;;FP-Rate;;ROC AUC;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;A;B;A;B;A;B;A;B;A;B;A;B;A;B;A;B;A;B;;;;;;
210614_1704_Test;M0_CTBNC2-LL;;90%;2000;1;0.7210049908772956;0.754;0.7842604870926572;0.246;0.5895196506550219;0.8929889298892989;0.823170731707317;0.7202380952380952;0.6870229007633588;0.797364085667216;0.717567551175279;0.9308029061757638;0.823170731707317;0.7202380952380952;0.7202380952380952;0.8231707317073171;0.823170731707317;0.7202380952380952;0.27976190476190477;0.17682926829268292;0.8535677990708479;0.8537311265969802;0.22676409488340327;250.232;;0.0012180000000000008;3.904760000000019E-7;
