Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;Recall;;F-Measure;;PR AUC;;Sensitivity;;Specificity;;TP-Rate;;FP-Rate;;ROC AUC;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;A;B;A;B;A;B;A;B;A;B;A;B;A;B;A;B;A;B;;;;;;
210614_2024_Test;M0_CTNB;;90%;2000;1;0.634574029907146;0.67;0.70359577818298;0.32999999999999996;0.5;0.7931034482758621;0.6363636363636364;0.6865671641791045;0.56;0.736;0.5059642634285054;0.8270884462674214;0.6363636363636364;0.6865671641791045;0.6865671641791045;0.6363636363636364;0.6363636363636364;0.6865671641791045;0.31343283582089554;0.36363636363636365;0.7085933966530982;0.7085843509724107;0.3010343922591041;1.047;;0.0010940000000000006;1.886116400000012E-5;
