Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;Recall;;F-Measure;;PR AUC;;Sensitivity;;Specificity;;TP-Rate;;FP-Rate;;ROC AUC;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;A;B;A;B;A;B;A;B;A;B;A;B;A;B;A;B;A;B;;;;;;
210706_0315_Test;M0_ACTNB4-LL;;90%;2000;1;0.8713706838961803;0.896;0.9163660455372894;0.10399999999999998;0.9457627118644067;0.824390243902439;0.8857142857142857;0.9135135135135135;0.9147540983606556;0.8666666666666667;0.9749929979124599;0.9412161806040609;0.8857142857142857;0.9135135135135135;0.9135135135135135;0.8857142857142857;0.8857142857142857;0.9135135135135135;0.08648648648648649;0.11428571428571428;0.9598798798798799;0.9591934791934792;0.09895290332604752;61.545;;8.480000000000006E-4;1.1824896000000097E-5;
