Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;;;Recall;;;;F-Measure;;;;PR AUC;;;;Sensitivity;;;;Specificity;;;;TP-Rate;;;;FP-Rate;;;;ROC AUC;;;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;;;;;;
210705_0400_Test;M0_CTNB;;90%;2000;1;0.6899751775766585;0.724;0.7556132754362133;0.276;0.8860759493670886;0.2;0.8296296296296296;0.3972602739726027;0.8045977011494253;0.4230769230769231;0.6956521739130435;0.5576923076923077;0.8433734939759037;0.2716049382716049;0.7567567567567568;0.4640000000000001;0.9226244963138233;0.15420876160746635;0.8540943023216906;0.46972727934217884;0.8045977011494253;0.4230769230769231;0.6956521739130435;0.5576923076923077;0.8870292887029289;0.9071729957805907;0.9321533923303835;0.9017857142857143;0.8045977011494253;0.4230769230769231;0.6956521739130435;0.5576923076923077;0.11297071129707113;0.09282700421940929;0.06784660766961652;0.09821428571428571;0.9138812741467481;0.8416098669263227;0.8856519906923909;0.8498025412087912;0.254877583474889;1.021;;0.001470000000000001;2.246509999999985E-5;
