Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;;;Recall;;;;F-Measure;;;;PR AUC;;;;Sensitivity;;;;Specificity;;;;TP-Rate;;;;FP-Rate;;;;ROC AUC;;;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;;;;;;
210706_0319_Test;M0_ACTNB4-LL;;90%;2000;1;0.604021512709671;0.64;0.6744712704233738;0.36;0.7853403141361257;0.6129032258064516;0.3894736842105263;0.628099173553719;0.7009345794392523;0.6263736263736264;0.5441176470588235;0.5984251968503937;0.7407407407407407;0.6195652173913043;0.4539877300613497;0.6129032258064516;0.8435695471830551;0.6664314339453994;0.48841847663909194;0.6598349894072697;0.7009345794392523;0.6263736263736264;0.5441176470588235;0.5984251968503937;0.8566433566433567;0.9119804400977995;0.8657407407407407;0.8793565683646113;0.7009345794392523;0.6263736263736264;0.5441176470588235;0.5984251968503937;0.14335664335664336;0.08801955990220049;0.13425925925925927;0.12064343163538874;0.8729249722240376;0.8318600714688734;0.8440904139433552;0.8555656414261891;0.33112684838366896;57.515;;0.001224000000000001;1.673382400000007E-5;
