Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;;;Recall;;;;F-Measure;;;;PR AUC;;;;Sensitivity;;;;Specificity;;;;TP-Rate;;;;FP-Rate;;;;ROC AUC;;;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;;;;;;
210705_0641_Test;M0_CTBNC8-LL;;90%;2000;1;0.7313926783465204;0.764;0.7937651412757927;0.236;0.8888888888888888;0.30158730158730157;0.8925619834710744;0.5342465753424658;0.8275862068965517;0.7307692307692307;0.6708074534161491;0.75;0.8571428571428572;0.42696629213483145;0.7659574468085107;0.624;0.9461977492685758;0.4967189469998553;0.890277348714851;0.6907066945327879;0.8275862068965517;0.7307692307692307;0.6708074534161491;0.75;0.8870292887029289;0.9071729957805907;0.9616519174041298;0.9241071428571429;0.8275862068965517;0.7307692307692307;0.6708074534161491;0.75;0.11297071129707113;0.09282700421940929;0.038348082595870206;0.07589285714285714;0.9332627967745556;0.9332197338526452;0.910002015427179;0.9547132554945055;0.20727427898231238;660.058;;0.0011120000000000008;1.4627456000000208E-5;
