Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;Recall;;F-Measure;;PR AUC;;Sensitivity;;Specificity;;TP-Rate;;FP-Rate;;ROC AUC;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;A;B;A;B;A;B;A;B;A;B;A;B;A;B;A;B;A;B;;;;;;
210705_0159_Test;M0_CTNB;;90%;2000;1;0.4593385154027269;0.496;0.532704547936329;0.504;0.5962264150943396;0.3829787234042553;0.5214521452145214;0.45685279187817257;0.5563380281690141;0.41666666666666663;0.6202499593819321;0.4206293365500341;0.5214521452145214;0.45685279187817257;0.4568527918781726;0.5214521452145214;0.5214521452145214;0.45685279187817257;0.5431472081218274;0.47854785478547857;0.5110485667856126;0.5110485667856126;0.4214279142424096;0.862;;0.0010060000000000006;1.334596399999993E-5;
