Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;;Recall;;;F-Measure;;;PR AUC;;;Sensitivity;;;Specificity;;;TP-Rate;;;FP-Rate;;;ROC AUC;;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;A;B;C;A;B;C;A;B;C;A;B;C;A;B;C;A;B;C;A;B;C;A;B;C;A;B;C;;;;;;
210705_0210_Test;M0_CTBNC2-LL;;90%;2000;1;0.3274757349486711;0.362;0.39800995024875624;0.638;NaN;NaN;0.362;0.0;0.0;1.0;NaN;NaN;0.5315712187958884;0.649;0.67;0.681;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.5;0.5;0.5;0.23102982502504474;106.595;;9.400000000000006E-4;1.2416400000000071E-5;
