Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;;;Recall;;;;F-Measure;;;;PR AUC;;;;Sensitivity;;;;Specificity;;;;TP-Rate;;;;FP-Rate;;;;ROC AUC;;;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;;;;;;
210705_0653_Test;M0_CTNB;;90%;2000;1;0.42958328983370386;0.466;0.5027827485482711;0.534;0.6473684210526316;0.37254901960784315;0.2571428571428571;0.4368932038834951;0.5747663551401869;0.4175824175824176;0.39705882352941174;0.3543307086614173;0.608910891089109;0.3937823834196891;0.3121387283236994;0.3913043478260869;0.6763666049459435;0.41687340579861715;0.23984057026180425;0.447801686393293;0.5747663551401869;0.4175824175824176;0.39705882352941174;0.3543307086614173;0.7657342657342657;0.843520782396088;0.8194444444444444;0.8445040214477212;0.5747663551401869;0.4175824175824176;0.39705882352941174;0.3543307086614173;0.23426573426573427;0.15647921760391198;0.18055555555555555;0.1554959785522788;0.7552447552447552;0.7066820709852495;0.7246732026143791;0.7202507863460768;0.4897875573746145;0.871;;0.001378000000000001;1.695911600000004E-5;
