Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;;Recall;;;F-Measure;;;PR AUC;;;Sensitivity;;;Specificity;;;TP-Rate;;;FP-Rate;;;ROC AUC;;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;;;;;;
210609_2326_Test;M0_CTNB;;90%;3978;1;0.818942941122849;0.8390342052313883;0.8572845352787307;0.16096579476861173;0.8653846153846154;0.919831223628692;0.5027932960893855;0.8108108108108109;0.8778523489932886;0.6521739130434783;0.8372093023255816;0.8983516483516483;0.5678233438485805;0.9122446448456993;0.9629264404955059;0.6147920876288651;0.8108108108108109;0.8778523489932886;0.6521739130434783;0.984144960362401;0.7710843373493976;0.8960280373831776;0.8108108108108109;0.8778523489932886;0.6521739130434783;0.015855039637599093;0.2289156626506024;0.10397196261682243;0.9859355391631722;0.8930109700547155;0.8913043478260869;0.15367225977426868;1.129;;7.927565392354131E-4;2.1057127473088382E-7;
210609_2347_Test;M0_CTNB;;90%;3978;1;0.818942941122849;0.8390342052313883;0.8572845352787307;0.16096579476861173;0.8653846153846154;0.919831223628692;0.5027932960893855;0.8108108108108109;0.8778523489932886;0.6521739130434783;0.8372093023255816;0.8983516483516483;0.5678233438485805;0.9122446448456993;0.9629264404955059;0.6147920876288651;0.8108108108108109;0.8778523489932886;0.6521739130434783;0.984144960362401;0.7710843373493976;0.8960280373831776;0.8108108108108109;0.8778523489932886;0.6521739130434783;0.015855039637599093;0.2289156626506024;0.10397196261682243;0.9859355391631722;0.8930109700547155;0.8913043478260869;0.15367225977426868;1.103;;6.478873239436625E-4;9.222093122112852E-6;
