Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;Recall;;F-Measure;;PR AUC;;Sensitivity;;Specificity;;TP-Rate;;FP-Rate;;ROC AUC;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;A;B;A;B;A;B;A;B;A;B;A;B;A;B;A;B;A;B;;;;;;
210706_1110_Test;M0_ACTNB2-LL;;90%;2000;1;0.5292798051242237;0.566;0.6020096497813544;0.43400000000000005;0.5165876777251185;0.6020761245674741;0.48660714285714285;0.6304347826086957;0.5011494252873563;0.6159292035398231;0.5323446798449211;0.6052693422695596;0.48660714285714285;0.6304347826086957;0.6304347826086957;0.4866071428571429;0.48660714285714285;0.6304347826086957;0.3695652173913043;0.5133928571428571;0.5820474249482401;0.5820555124223602;0.3900588266500095;126.176;;9.600000000000008E-4;1.6239999999999878E-7;
