Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;;;Recall;;;;F-Measure;;;;PR AUC;;;;Sensitivity;;;;Specificity;;;;TP-Rate;;;;FP-Rate;;;;ROC AUC;;;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;;;;;;
210704_2310_Test;M0_CTNB;;90%;2000;1;0.42958328983370386;0.466;0.5027827485482711;0.534;0.643979057591623;0.37254901960784315;0.25961538461538464;0.4368932038834951;0.5747663551401869;0.4175824175824176;0.39705882352941174;0.3543307086614173;0.6074074074074074;0.3937823834196891;0.313953488372093;0.3913043478260869;0.6763920684551216;0.4167377740227629;0.24018675712761353;0.45146494681150995;0.5747663551401869;0.4175824175824176;0.39705882352941174;0.3543307086614173;0.7622377622377623;0.843520782396088;0.8217592592592593;0.8445040214477212;0.5747663551401869;0.4175824175824176;0.39705882352941174;0.3543307086614173;0.23776223776223776;0.15647921760391198;0.17824074074074073;0.1554959785522788;0.7553427880530684;0.7070313549531153;0.7258306100217865;0.7221506829072639;0.48932329236013855;1.14;;0.002137999999999999;3.945495599999994E-5;
