Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;;Recall;;;F-Measure;;;PR AUC;;;Sensitivity;;;Specificity;;;TP-Rate;;;FP-Rate;;;ROC AUC;;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;;;;;;
210615_1112_Test;M0_CTBNC8-LL;;90%;4208;1;0.5508181834070798;0.5760456273764258;0.6008828557521494;0.42395437262357416;NaN;NaN;0.5760456273764258;0.0;0.0;1.0;NaN;NaN;0.7310012062726176;0.46311512869260013;0.14428988571303702;0.5436968245303618;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.6308236034798534;0.43938817992578516;0.48189998372034515;0.24429410714309452;0.099;;7.509505703422054E-5;1.1816230898234357E-6;
