Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;Recall;;F-Measure;;PR AUC;;Sensitivity;;Specificity;;TP-Rate;;FP-Rate;;ROC AUC;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;A;B;A;B;A;B;A;B;A;B;A;B;A;B;A;B;A;B;;;;;;
210614_1644_Test;M0_CTNB;;90%;2000;1;0.828253617434095;0.856;0.8799137453899333;0.14400000000000002;0.9063545150501672;0.7810945273631841;0.8603174603174604;0.8486486486486486;0.8827361563517916;0.8134715025906736;0.9624998330104761;0.9052000606679187;0.8603174603174604;0.8486486486486486;0.8486486486486486;0.8603174603174604;0.8603174603174604;0.8486486486486486;0.15135135135135136;0.13968253968253969;0.9376404976404976;0.9366023166023166;0.13912279455902576;0.851;;9.580000000000007E-4;1.2823599999999924E-7;
