Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;;Recall;;;F-Measure;;;PR AUC;;;Sensitivity;;;Specificity;;;TP-Rate;;;FP-Rate;;;ROC AUC;;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;;;;;;
210614_1701_Test;M0_CTBNC2-LL;;90%;4266;1;0.596293029392251;0.6210131332082551;0.6451204126251643;0.37898686679174487;NaN;NaN;0.6210131332082551;0.0;0.0;1.0;NaN;NaN;0.7662037037037037;0.4711718862750758;0.1344034660520608;0.5581336313809582;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.6368664780036017;0.4423253194049722;0.46453516197541206;0.2357563845822848;0.151;;1.0600375234521584E-4;9.476695683395037E-8;
