Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;;Recall;;;F-Measure;;;PR AUC;;;Sensitivity;;;Specificity;;;TP-Rate;;;FP-Rate;;;ROC AUC;;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;;;;;;
210704_2317_Test;M0_CTBNC4-LL;;90%;4031;1;0.6903297490661133;0.7142857142857143;0.7370942390317117;0.2857142857142857;NaN;0.7142857142857143;NaN;0.0;1.0;0.0;NaN;0.8333333333333334;NaN;0.5590277777777778;0.8571428571428572;0.5838293650793651;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.5;0.5;0.5;0.20919717092597068;0.143;;1.0813492063492064E-4;1.673822711955164E-6;
