Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;;Recall;;;F-Measure;;;PR AUC;;;Sensitivity;;;Specificity;;;TP-Rate;;;FP-Rate;;;ROC AUC;;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;;;;;;
210610_0848_Test;M0_CTBNC2-LL;;90%;4208;1;0.6401058243592729;0.6644486692015209;0.6879476728225603;0.3355513307984791;0.648936170212766;0.5265588914549654;0.8097447795823666;0.782051282051282;0.7862068965517242;0.5759075907590759;0.7093023255813954;0.6307053941908713;0.673095467695275;0.7790451776770809;0.7176097781494346;0.8176717401791428;0.782051282051282;0.7862068965517242;0.5759075907590759;0.9263392857142857;0.7309711286089239;0.8161434977578476;0.782051282051282;0.7862068965517242;0.5759075907590759;0.07366071428571429;0.2690288713910761;0.18385650224215247;0.953207274496337;0.8063173137840528;0.7854785478547854;0.32744633609343765;403.412;;6.701520912547534E-4;1.005945130766674E-5;
