Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;;Recall;;;F-Measure;;;PR AUC;;;Sensitivity;;;Specificity;;;TP-Rate;;;FP-Rate;;;ROC AUC;;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;A;B;C;A;B;C;A;B;C;A;B;C;A;B;C;A;B;C;A;B;C;A;B;C;A;B;C;;;;;;
210614_1649_Test;M0_CTNB;;90%;2000;1;0.30997663394222386;0.344;0.3797028362809548;0.656;0.3148148148148148;0.34831460674157305;0.36875;0.3422818791946309;0.36470588235294116;0.3259668508287293;0.3279742765273312;0.3563218390804597;0.3460410557184751;0.31790691351510675;0.34032966800777587;0.3838114748724793;0.3422818791946309;0.36470588235294116;0.3259668508287293;0.6837606837606838;0.6484848484848484;0.6833855799373041;0.3422818791946309;0.36470588235294116;0.3259668508287293;0.3162393162393162;0.3515151515151515;0.3166144200626959;0.5264536606818486;0.48745098039215684;0.5047195136736001;0.5307654471516242;1.128;;0.001344000000000001;2.7366399999999924E-7;
