Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;Recall;;F-Measure;;PR AUC;;Sensitivity;;Specificity;;TP-Rate;;FP-Rate;;ROC AUC;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;A;B;A;B;A;B;A;B;A;B;A;B;A;B;A;B;A;B;;;;;;
210704_2312_Test;M0_CTNB;;90%;2000;1;0.7065003009226697;0.74;0.7709158987339786;0.26;0.22388059701492538;0.9289617486338798;0.5357142857142857;0.7657657657657657;0.3157894736842105;0.8395061728395062;0.3896346013405966;0.9339553982194985;0.5357142857142857;0.7657657657657657;0.7657657657657657;0.5357142857142857;0.5357142857142857;0.7657657657657657;0.23423423423423423;0.4642857142857143;0.7144465894465895;0.7143661518661518;0.23910954283373206;1.147;;0.001262000000000001;1.5749355999999998E-5;
