Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;Recall;;F-Measure;;PR AUC;;Sensitivity;;Specificity;;TP-Rate;;FP-Rate;;ROC AUC;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;A;B;A;B;A;B;A;B;A;B;A;B;A;B;A;B;A;B;;;;;;
210705_0012_Test;M0_CTBNC4-LL;;90%;2000;1;0.5092229400736283;0.546;0.5822818315272293;0.45399999999999996;0.6301369863013698;0.42788461538461536;0.6072607260726073;0.4517766497461929;0.6184873949579832;0.4395061728395062;0.6448992163196127;0.4646543346249589;0.6072607260726073;0.4517766497461929;0.4517766497461929;0.6072607260726073;0.6072607260726073;0.4517766497461929;0.5482233502538071;0.3927392739273927;0.5595650935651941;0.5595650935651941;0.37886814596840884;239.86;;8.780000000000005E-4;1.2891115999999903E-5;
