Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;;Recall;;;F-Measure;;;PR AUC;;;Sensitivity;;;Specificity;;;TP-Rate;;;FP-Rate;;;ROC AUC;;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;;;;;;
210704_2314_Test;M0_CTBNC4-LL;;90%;4208;1;0.5508181834070798;0.5760456273764258;0.6008828557521494;0.42395437262357416;NaN;NaN;0.5760456273764258;0.0;0.0;1.0;NaN;NaN;0.7310012062726176;0.39976680457818786;0.5407907797101931;0.5518954375768257;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.5785256410256411;0.617816091954023;0.36306220308129467;0.24429410714309366;11.181;;3.583650190114071E-4;2.3754409489800842E-7;
