Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;;;Recall;;;;F-Measure;;;;PR AUC;;;;Sensitivity;;;;Specificity;;;;TP-Rate;;;;FP-Rate;;;;ROC AUC;;;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;;;;;;
210705_0400_Test;M0_CTNB;;90%;2000;1;0.42958328983370386;0.466;0.5027827485482711;0.534;0.643979057591623;0.37254901960784315;0.25961538461538464;0.4368932038834951;0.5747663551401869;0.4175824175824176;0.39705882352941174;0.3543307086614173;0.6074074074074074;0.3937823834196891;0.313953488372093;0.3913043478260869;0.6759014803686463;0.41656875539004207;0.24014011571979516;0.44700191606815204;0.5747663551401869;0.4175824175824176;0.39705882352941174;0.3543307086614173;0.7622377622377623;0.843520782396088;0.8217592592592593;0.8445040214477212;0.5747663551401869;0.4175824175824176;0.39705882352941174;0.3543307086614173;0.23776223776223776;0.15647921760391198;0.17824074074074073;0.1554959785522788;0.7550486896281289;0.7066283349901932;0.7248093681917211;0.7196597074159296;0.48930206039702445;1.412;;0.0020260000000000013;2.693732400000027E-5;
