Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;;;Recall;;;;F-Measure;;;;PR AUC;;;;Sensitivity;;;;Specificity;;;;TP-Rate;;;;FP-Rate;;;;ROC AUC;;;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;;;;;;
210706_0207_Test;M0_ACTNB2-LL;;90%;2000;1;0.6982310341122491;0.732;0.763271292222511;0.268;0.8860759493670886;0.20408163265306123;0.8345323741007195;0.4;0.8045977011494253;0.38461538461538464;0.7204968944099379;0.5769230769230769;0.8433734939759037;0.2666666666666667;0.7733333333333333;0.47244094488188976;0.9281596141628944;0.15613133629958714;0.8684860040496426;0.4491090192608712;0.8045977011494253;0.38461538461538464;0.7204968944099379;0.5769230769230769;0.8870292887029289;0.9177215189873418;0.9321533923303835;0.8995535714285714;0.8045977011494253;0.38461538461538464;0.7204968944099379;0.5769230769230769;0.11297071129707113;0.08227848101265822;0.06784660766961652;0.10044642857142858;0.9155244553455489;0.8156037000973709;0.8936953773429341;0.8602335164835165;0.25290506677601715;54.056;;0.0014380000000000011;2.0430155999999826E-5;
