Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;;Recall;;;F-Measure;;;PR AUC;;;Sensitivity;;;Specificity;;;TP-Rate;;;FP-Rate;;;ROC AUC;;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;;;;;;
210614_1700_Test;M0_CTNB;;90%;3978;1;0.726232053729981;0.7494969818913481;0.7714071573904694;0.25050301810865194;NaN;0.7494969818913481;NaN;0.0;1.0;0.0;NaN;0.8568142610695803;NaN;0.5558350100603622;0.874748490945674;0.5694164989939637;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.5;0.5;0.5;0.19057576696890566;0.154;;1.3480885311871235E-4;1.1864749867413552E-7;
