Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;;Recall;;;F-Measure;;;PR AUC;;;Sensitivity;;;Specificity;;;TP-Rate;;;FP-Rate;;;ROC AUC;;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;A;B;C;A;B;C;A;B;C;A;B;C;A;B;C;A;B;C;A;B;C;A;B;C;A;B;C;;;;;;
210615_1211_Test;M0_CTBNC4-LL;;90%;2000;1;0.38421649085800536;0.42;0.4566447759231119;0.5800000000000001;NaN;0.42;NaN;0.0;1.0;0.0;NaN;0.5915492957746479;NaN;0.648;0.71;0.642;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.5;0.5;0.5;0.24367783395285195;256.003;;0.0011280000000000007;1.4071616000000067E-5;
