Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;;;Recall;;;;F-Measure;;;;PR AUC;;;;Sensitivity;;;;Specificity;;;;TP-Rate;;;;FP-Rate;;;;ROC AUC;;;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;;;;;;
210615_1448_Test;M0_CTBNC8-LL;;90%;2000;1;0.6427475983263069;0.678;0.7113360830857074;0.32199999999999995;0.8131313131313131;0.594059405940594;0.46987951807228917;0.6694915254237288;0.7523364485981309;0.6593406593406593;0.5735294117647058;0.6220472440944882;0.7815533980582524;0.625;0.5165562913907285;0.6448979591836735;0.8796520179212162;0.7135981478911197;0.5974524745540544;0.7125364602897014;0.7523364485981309;0.6593406593406593;0.5735294117647058;0.6220472440944882;0.8706293706293706;0.8997555012224939;0.8981481481481481;0.8954423592493298;0.7523364485981309;0.6593406593406593;0.5735294117647058;0.6220472440944882;0.12937062937062938;0.10024449877750612;0.10185185185185185;0.10455764075067024;0.897751780929351;0.8620597006905075;0.876327614379085;0.883578560722805;0.28106558408511784;108.922;;0.001440000000000001;1.9530399999999995E-5;
