Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;;Recall;;;F-Measure;;;PR AUC;;;Sensitivity;;;Specificity;;;TP-Rate;;;FP-Rate;;;ROC AUC;;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;;;;;;
210614_1645_Test;M0_CTNB;;90%;4031;1;0.6903297490661133;0.7142857142857143;0.7370942390317117;0.2857142857142857;NaN;0.7142857142857143;NaN;0.0;1.0;0.0;NaN;0.8333333333333334;NaN;0.3164390756302521;0.5676523970547098;0.12639433350835527;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.5072785019519619;0.26927324459876545;0.3379586856711639;0.20864424650422417;0.437;;3.839285714285717E-4;5.010336947279E-6;
