Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;Recall;;F-Measure;;PR AUC;;Sensitivity;;Specificity;;TP-Rate;;FP-Rate;;ROC AUC;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;A;B;A;B;A;B;A;B;A;B;A;B;A;B;A;B;A;B;;;;;;
210614_2013_Test;M0_CTBNC4-LL;;90%;2000;1;0.6611802872935364;0.696;0.7287096090927263;0.30400000000000005;0.939209726443769;0.22807017543859648;0.7006802721088435;0.6610169491525424;0.8025974025974025;0.3391304347826087;0.9500826748998662;0.21227130333859093;0.7006802721088435;0.6610169491525424;0.6610169491525424;0.7006802721088435;0.7006802721088435;0.6610169491525424;0.3389830508474576;0.29931972789115646;0.7191667627502979;0.7191667627502979;0.2740665357522061;118.844;;7.820000000000005E-4;1.1630475999999896E-5;
