Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;;Recall;;;F-Measure;;;PR AUC;;;Sensitivity;;;Specificity;;;TP-Rate;;;FP-Rate;;;ROC AUC;;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;;;;;;
210704_2312_Test;M0_CTNB;;90%;4266;1;0.7107386846776104;0.7335834896810507;0.7552454010769357;0.2664165103189493;0.975;1.0;0.7020148462354189;0.6923076923076923;0.01276595744680851;1.0;0.8096885813148789;0.025210084033613443;0.8249221183800622;0.946402521295838;0.3868901550596326;0.8366883133906947;0.6923076923076923;0.01276595744680851;1.0;0.9966555183946488;1.0;0.3044554455445545;0.6923076923076923;0.01276595744680851;1.0;0.0033444816053511705;0.0;0.6955445544554455;0.9887494805169104;0.7375784110402744;0.758014642098651;0.17042322818146485;0.39;;2.4671669793621025E-4;3.197104604542918E-6;
