Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;Recall;;F-Measure;;PR AUC;;Sensitivity;;Specificity;;TP-Rate;;FP-Rate;;ROC AUC;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;A;B;A;B;A;B;A;B;A;B;A;B;A;B;A;B;A;B;;;;;;
210615_1107_Test;M0_CTNB;;90%;2000;1;0.6776157501314297;0.712;0.7441018928986095;0.28800000000000003;0.9355742296918768;0.15384615384615385;0.734065934065934;0.4888888888888889;0.8226600985221676;0.23404255319148937;0.9567496216459497;0.16381934603946058;0.734065934065934;0.4888888888888889;0.48888888888888893;0.7340659340659341;0.734065934065934;0.4888888888888889;0.5111111111111111;0.26593406593406593;0.6895238095238095;0.6895238095238095;0.2601629306121118;0.661;;7.640000000000005E-4;1.0216304000000002E-5;
