Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;Recall;;F-Measure;;PR AUC;;Sensitivity;;Specificity;;TP-Rate;;FP-Rate;;ROC AUC;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;A;B;A;B;A;B;A;B;A;B;A;B;A;B;A;B;A;B;;;;;;
210704_2313_Test;M0_CTBNC2-LL;;90%;2000;1;0.47127742339761913;0.508;0.5446364499242692;0.492;0.508;NaN;1.0;0.0;0.6737400530503979;NaN;0.754;0.746;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.5;0.5;0.24994303556199216;151.604;;9.700000000000006E-4;1.2937100000000129E-5;
