Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;Recall;;F-Measure;;PR AUC;;Sensitivity;;Specificity;;TP-Rate;;FP-Rate;;ROC AUC;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;A;B;A;B;A;B;A;B;A;B;A;B;A;B;A;B;A;B;;;;;;
210614_2028_Test;M0_CTBNC4-LL;;90%;2000;1;0.49521836383942863;0.532;0.5684371294481245;0.46799999999999997;NaN;0.532;0.0;1.0;NaN;0.6945169712793734;0.734;0.766;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.5;0.5;0.2493251075795948;124.685;;7.060000000000005E-4;2.475640000000012E-7;
