Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;;;Recall;;;;F-Measure;;;;PR AUC;;;;Sensitivity;;;;Specificity;;;;TP-Rate;;;;FP-Rate;;;;ROC AUC;;;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;;;;;;
210615_1110_Test;M0_CTBNC2-LL;;90%;2000;1;0.6060536350628473;0.642;0.6764176164006697;0.358;0.8846153846153846;0.5909090909090909;0.4032258064516129;0.6136363636363636;0.6448598130841121;0.5714285714285714;0.7352941176470589;0.6377952755905512;0.7459459459459459;0.5810055865921787;0.5208333333333334;0.6254826254826255;0.8906204688128107;0.6810563810142982;0.5831385068971426;0.7095579118936807;0.6448598130841121;0.5714285714285714;0.7352941176470589;0.6377952755905512;0.9370629370629371;0.9119804400977995;0.8287037037037037;0.8632707774798928;0.6448598130841121;0.5714285714285714;0.7352941176470589;0.6377952755905512;0.06293706293706294;0.08801955990220049;0.1712962962962963;0.13672922252010725;0.9060845696359715;0.8358499691018029;0.8600898692810458;0.8673238901437589;0.296598623166348;143.615;;0.0011860000000000009;1.4947403999999993E-5;
