Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;;Recall;;;F-Measure;;;PR AUC;;;Sensitivity;;;Specificity;;;TP-Rate;;;FP-Rate;;;ROC AUC;;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;high;inactive;low;;;;;;
210705_0401_Test;M0_CTNB;;90%;4208;1;0.5508181834070798;0.5760456273764258;0.6008828557521494;0.42395437262357416;NaN;NaN;0.5760456273764258;0.0;0.0;1.0;NaN;NaN;0.7310012062726176;0.32960417276006637;0.20734304173997498;0.5952102561226436;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.505294184981685;0.3680333061815549;0.5377576995367698;0.2713616608965128;0.408;;3.2604562737642605E-4;4.354720864838299E-6;
