Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;Recall;;F-Measure;;PR AUC;;Sensitivity;;Specificity;;TP-Rate;;FP-Rate;;ROC AUC;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;A;B;A;B;A;B;A;B;A;B;A;B;A;B;A;B;A;B;;;;;;
210614_1651_Test;M0_CTNB;;90%;2000;1;0.4812425746428925;0.518;0.5545636403313562;0.482;0.36486486486486486;0.6402877697841727;0.44751381215469616;0.5579937304075235;0.40198511166253104;0.5963149078726968;0.37323641058795826;0.6509450829648958;0.44751381215469616;0.5579937304075235;0.5579937304075235;0.4475138121546961;0.44751381215469616;0.5579937304075235;0.44200626959247646;0.5524861878453039;0.5037669512807634;0.5037669512807634;0.4280255723051542;1.156;;0.001340000000000001;2.42039999999997E-6;
