Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;;;;;;Recall;;;;;;;F-Measure;;;;;;;PR AUC;;;;;;;Sensitivity;;;;;;;Specificity;;;;;;;TP-Rate;;;;;;;FP-Rate;;;;;;;ROC AUC;;;;;;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;1;2;3;4;5;6;7;1;2;3;4;5;6;7;1;2;3;4;5;6;7;1;2;3;4;5;6;7;1;2;3;4;5;6;7;1;2;3;4;5;6;7;1;2;3;4;5;6;7;1;2;3;4;5;6;7;1;2;3;4;5;6;7;;;;;;
210412_0059_Test;M0_CTNB;;90%;840;1;0.9871573439819769;1.0;1.0000000000000002;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8633877696377696;0.8638857466063348;0.818374941031191;0.9824038461538461;0.7662927350427351;0.8824038461538461;0.9808957489878543;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8676079394311439;0.8884381338742393;0.9506340579710145;0.9868354430379747;0.9388555606829718;0.8995073891625616;0.9736842105263158;0.10096156921791874;0.987;;0.005139423076923078;4.2642150517751565E-6;
210412_0100_Test;M0_CTNB;;90%;840;1;0.5685077424593126;0.625;0.6782815935361816;0.375;1.0;0.8823529411764706;0.125;0.58;0.5454545454545454;1.0;0.5263157894736842;0.9642857142857143;1.0;0.1;0.9666666666666667;0.2;0.16666666666666666;1.0;0.9818181818181817;0.9375;0.1111111111111111;0.725;0.2926829268292683;0.2857142857142857;0.689655172413793;0.8525641025641025;0.9072115384615385;0.12939102564102561;0.8;0.5127346237640356;0.5425;0.7777777777777778;0.9642857142857143;1.0;0.1;0.9666666666666667;0.2;0.16666666666666666;1.0;1.0;0.9775280898876404;0.8820224719101124;0.8820224719101124;0.9719101123595506;1.0;0.848314606741573;0.9642857142857143;1.0;0.1;0.9666666666666667;0.2;0.16666666666666666;1.0;0.0;0.02247191011235955;0.11797752808988764;0.11797752808988764;0.028089887640449437;0.0;0.15168539325842698;0.8543650793650793;0.9415730337078652;0.4411985018726592;0.9438202247191011;0.6623595505617977;0.5642322097378277;0.9325842696629213;0.3990141721622039;0.688;;0.003225961538461541;2.13644138313609E-6;
210412_0100_Test;M0_CTNB;;90%;840;1;0.5685077424593126;0.625;0.6782815935361816;0.375;1.0;0.8823529411764706;0.125;0.58;0.5454545454545454;1.0;0.5263157894736842;0.9642857142857143;1.0;0.1;0.9666666666666667;0.2;0.16666666666666666;1.0;0.9818181818181817;0.9375;0.1111111111111111;0.725;0.2926829268292683;0.2857142857142857;0.689655172413793;0.8525641025641025;0.9072115384615385;0.12939102564102561;0.8;0.5127346237640356;0.5425;0.7777777777777778;0.9642857142857143;1.0;0.1;0.9666666666666667;0.2;0.16666666666666666;1.0;1.0;0.9775280898876404;0.8820224719101124;0.8820224719101124;0.9719101123595506;1.0;0.848314606741573;0.9642857142857143;1.0;0.1;0.9666666666666667;0.2;0.16666666666666666;1.0;0.0;0.02247191011235955;0.11797752808988764;0.11797752808988764;0.028089887640449437;0.0;0.15168539325842698;0.8543650793650793;0.9415730337078652;0.4411985018726592;0.9438202247191011;0.6623595505617977;0.5642322097378277;0.9325842696629213;0.3990141721622039;0.975;;0.00514423076923077;4.258043639053254E-6;
210412_0102_Test;M0_CTNB;;90%;840;1;0.5685077424593126;0.625;0.6782815935361816;0.375;1.0;0.8823529411764706;0.125;0.58;0.5454545454545454;1.0;0.5263157894736842;0.9642857142857143;1.0;0.1;0.9666666666666667;0.2;0.16666666666666666;1.0;0.9818181818181817;0.9375;0.1111111111111111;0.725;0.2926829268292683;0.2857142857142857;0.689655172413793;0.8525641025641025;0.9072115384615385;0.12939102564102561;0.8;0.5127346237640356;0.5425;0.7777777777777778;0.9642857142857143;1.0;0.1;0.9666666666666667;0.2;0.16666666666666666;1.0;1.0;0.9775280898876404;0.8820224719101124;0.8820224719101124;0.9719101123595506;1.0;0.848314606741573;0.9642857142857143;1.0;0.1;0.9666666666666667;0.2;0.16666666666666666;1.0;0.0;0.02247191011235955;0.11797752808988764;0.11797752808988764;0.028089887640449437;0.0;0.15168539325842698;0.8543650793650793;0.9415730337078652;0.4411985018726592;0.9438202247191011;0.6623595505617977;0.5642322097378277;0.9325842696629213;0.3990142120176986;0.692;;0.0032692307692307717;2.273668639053249E-6;
