Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;;Recall;;;F-Measure;;;PR AUC;;;Sensitivity;;;Specificity;;;TP-Rate;;;FP-Rate;;;ROC AUC;;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;A;B;C;A;B;C;A;B;C;A;B;C;A;B;C;A;B;C;A;B;C;A;B;C;A;B;C;;;;;;
210614_1649_Test;M0_CTNB;;90%;2000;1;0.3274757349486711;0.362;0.39800995024875624;0.638;0.33707865168539325;0.4624277456647399;0.2751677852348993;0.40540540540540543;0.38095238095238093;0.2887323943661972;0.36809815950920244;0.41775456919060056;0.281786941580756;0.36682716205538113;0.44878388217693765;0.3078593777706524;0.40540540540540543;0.38095238095238093;0.2887323943661972;0.6647727272727273;0.6793103448275862;0.6983240223463687;0.40540540540540543;0.38095238095238093;0.2887323943661972;0.3352272727272727;0.32068965517241377;0.3016759776536313;0.5654944717444718;0.5649096880131362;0.5071602801164529;0.5527491150868491;1.236;;0.0019880000000000015;3.2059855999999825E-5;
