768557155-2785.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020762716220802
768857118-2786.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020758956713053
769157082-2787.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020758956713052
769457046-2788.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020758956713054
769757009-2789.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020758956713053
76990642-2790.csv_1: True Class: low, Predicted: low, Probability: 0.7501833386206382
770056973-2791.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020792792010659
770356926-2792.csv_1: True Class: inactive, Predicted: low, Probability: 0.5021600897596719
770656664-2793.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020961959313739
770956575-2794.csv_1: True Class: inactive, Predicted: low, Probability: 0.501991663655112
771256764-2795.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020916849529804
771556684-2796.csv_1: True Class: inactive, Predicted: low, Probability: 0.5021270180362266
771856513-2797.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020198705604698
772156627-2798.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020413049667114
772456683-2799.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020758956713054
772756646-2800.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020958200206663
77290606-2801.csv_1: True Class: low, Predicted: low, Probability: 0.7501831566255165
773056556-2802.csv_1: True Class: inactive, Predicted: low, Probability: 0.5021010827017724
773356453-2803.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020476972091147
773656492-2804.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020586011185924
773956502-2805.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020758956713054
774256465-2806.csv_1: True Class: inactive, Predicted: low, Probability: 0.5021559561146214
774556214-2807.csv_1: True Class: inactive, Predicted: low, Probability: 0.5021781264121303
774855908-2808.csv_1: True Class: inactive, Predicted: low, Probability: 0.5019638286784851
775156172-2809.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020067078666867
775456320-2810.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020758956713053
775756284-2811.csv_1: True Class: inactive, Predicted: low, Probability: 0.5021157422462453
77590569-2812.csv_1: True Class: low, Predicted: low, Probability: 0.7501833386206377
776056140-2813.csv_1: True Class: inactive, Predicted: low, Probability: 0.5021270180362266
777351376-2814.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020758956713053
777651340-2815.csv_1: True Class: inactive, Predicted: low, Probability: 0.502107848788292
777951218-2816.csv_1: True Class: inactive, Predicted: low, Probability: 0.5021600897596724
778250956-2817.csv_1: True Class: inactive, Predicted: low, Probability: 0.502079655145037
778550910-2818.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020476972091147
778850949-2819.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020480732165727
77890532-2820.csv_1: True Class: low, Predicted: low, Probability: 0.7501833386206379
779150987-2821.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020586011185921
779450997-2822.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020758956713053
779750961-2823.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020555932070435
7799052-2824.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020762716220804
780050979-2825.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020492012344134
780351014-2826.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020758956713054
780650978-2827.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020762716220804
780950941-2828.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020758956713053
781250905-2829.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020758956713054
781550869-2830.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020796551450375
781850821-2831.csv_1: True Class: inactive, Predicted: low, Probability: 0.502159713977542
78190496-2832.csv_1: True Class: low, Predicted: low, Probability: 0.7501831566255164
782150560-2833.csv_1: True Class: inactive, Predicted: low, Probability: 0.5021386689707664
782450356-2834.csv_1: True Class: inactive, Predicted: low, Probability: 0.5021040898815813
782750245-2835.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020240072159728
783050348-2836.csv_1: True Class: inactive, Predicted: low, Probability: 0.5019939203638818
783350530-2837.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020476972091147
783650569-2838.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020691284281031
783950550-2839.csv_1: True Class: inactive, Predicted: low, Probability: 0.5021040898815813
784250439-2840.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020638648474155
784550435-2841.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020492012344134
784850470-2842.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020758956713054
78490459-2843.csv_1: True Class: low, Predicted: low, Probability: 0.7501833386206381
785150434-2844.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020762716220804
785450397-2845.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020758956713053
785750361-2846.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020758956713054
786050325-2847.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020762716220802
786350288-2848.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020758956713053
786650252-2849.csv_1: True Class: inactive, Predicted: low, Probability: 0.502118373324789
786950101-2850.csv_1: True Class: inactive, Predicted: low, Probability: 0.5021878955375653
787249765-2851.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020476972091131
787549805-2852.csv_1: True Class: inactive, Predicted: low, Probability: 0.5019980575926812
787849975-2853.csv_1: True Class: inactive, Predicted: low, Probability: 0.5021319040004965
78790423-2854.csv_1: True Class: low, Predicted: low, Probability: 0.7501782427238137
788149789-2855.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020789032563356
788449746-2856.csv_1: True Class: inactive, Predicted: low, Probability: 0.501992039775129
788749935-2857.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020522092487382
789049962-2858.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020758956713053
789349926-2859.csv_1: True Class: inactive, Predicted: low, Probability: 0.5020758956713054
789649890-2860.csv_1: True Class: inactive, Predicted: low, Probability: 0.5364912379426108
789649890-2860.csv_2: True Class: high, Predicted: high, Probability: 0.7431630885316226
789949853-2861.csv_1: True Class: high, Predicted: high, Probability: 0.8550840272009377
789949853-2861.csv_2: True Class: low, Predicted: low, Probability: 0.9977512951638444
790249817-2862.csv_1: True Class: low, Predicted: low, Probability: 0.9658103109318764
790249817-2862.csv_2: True Class: high, Predicted: high, Probability: 1.0
790549674-2863.csv_1: True Class: high, Predicted: high, Probability: 1.0
790549674-2863.csv_2: True Class: low, Predicted: low, Probability: 1.0
790849503-2864.csv_1: True Class: low, Predicted: low, Probability: 1.0
79090358-2865.csv_1: True Class: low, Predicted: low, Probability: 0.7501696887411372
791149616-2866.csv_1: True Class: low, Predicted: low, Probability: 1.0
791449672-2867.csv_1: True Class: low, Predicted: low, Probability: 1.0
791749636-2868.csv_1: True Class: low, Predicted: low, Probability: 1.0
792049385-2869.csv_1: True Class: low, Predicted: low, Probability: 1.0
792349078-2870.csv_1: True Class: low, Predicted: low, Probability: 1.0
792649342-2871.csv_1: True Class: low, Predicted: low, Probability: 1.0
792649342-2871.csv_2: True Class: high, Predicted: high, Probability: 1.0
793449430-2872.csv_1: True Class: high, Predicted: high, Probability: 1.0
793749394-2873.csv_1: True Class: high, Predicted: high, Probability: 1.0
79390247-2874.csv_1: True Class: low, Predicted: low, Probability: 0.750179334707541
794049251-2875.csv_1: True Class: high, Predicted: high, Probability: 1.0
794349080-2876.csv_1: True Class: high, Predicted: high, Probability: 1.0
794649193-2877.csv_1: True Class: high, Predicted: high, Probability: 1.0
794949249-2878.csv_1: True Class: high, Predicted: high, Probability: 1.0
795249213-2879.csv_1: True Class: high, Predicted: high, Probability: 1.0
795549177-2880.csv_1: True Class: high, Predicted: high, Probability: 1.0
