Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;Recall;;F-Measure;;PR AUC;;Sensitivity;;Specificity;;TP-Rate;;FP-Rate;;ROC AUC;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;A;B;A;B;A;B;A;B;A;B;A;B;A;B;A;B;A;B;;;;;;
210705_0358_Test;M0_CTNB;;90%;2000;1;0.4533769433826644;0.49;0.5267307149649755;0.51;0.5096525096525096;0.46887966804979253;0.5076923076923077;0.4708333333333333;0.5086705202312138;0.4698544698544699;0.5126329149546521;0.4827458126111954;0.5076923076923077;0.4708333333333333;0.4708333333333333;0.5076923076923077;0.5076923076923077;0.4708333333333333;0.5291666666666667;0.49230769230769234;0.48697115384615386;0.48697115384615386;0.4481809456059635;0.759;;8.400000000000006E-4;9.354400000000054E-6;
