Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;Recall;;F-Measure;;PR AUC;;Sensitivity;;Specificity;;TP-Rate;;FP-Rate;;ROC AUC;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;A;B;A;B;A;B;A;B;A;B;A;B;A;B;A;B;A;B;;;;;;
210706_0219_Test;M0_ACTNB2-LL;;90%;2000;1;0.8325306296856764;0.86;0.883593669799296;0.14;0.9435665914221218;0.21052631578947367;0.9028077753779697;0.32432432432432434;0.9227373068432669;0.25531914893617025;0.9647008789866981;0.20923245264356957;0.9028077753779697;0.32432432432432434;0.32432432432432434;0.9028077753779697;0.9028077753779697;0.32432432432432434;0.6756756756756757;0.09719222462203024;0.6875839122059424;0.6874671647889791;0.13876812469576566;194.059;;7.800000000000004E-4;1.1571600000000084E-5;
