Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;;;Recall;;;;F-Measure;;;;PR AUC;;;;Sensitivity;;;;Specificity;;;;TP-Rate;;;;FP-Rate;;;;ROC AUC;;;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;;;;;;
210614_1952_Test;M0_CTNB;;90%;2000;1;0.6899751775766585;0.724;0.7556132754362133;0.276;0.8860759493670886;0.2;0.8296296296296296;0.3972602739726027;0.8045977011494253;0.4230769230769231;0.6956521739130435;0.5576923076923077;0.8433734939759037;0.2716049382716049;0.7567567567567568;0.4640000000000001;0.9225907601682245;0.15439008424875492;0.8542972958284812;0.4678762160997285;0.8045977011494253;0.4230769230769231;0.6956521739130435;0.5576923076923077;0.8870292887029289;0.9071729957805907;0.9321533923303835;0.9017857142857143;0.8045977011494253;0.4230769230769231;0.6956521739130435;0.5576923076923077;0.11297071129707113;0.09282700421940929;0.06784660766961652;0.09821428571428571;0.9137850879302329;0.8414475819539111;0.8855054141702853;0.8470123626373627;0.25677243394401184;0.902;;0.001374000000000001;1.9586124000000055E-5;
